Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.2,818788154.9,1001503842,812942202,904659791.1,2096788700,3072550962,4098122931,7874476255,13875270457,10296720634,3896664559,1842900000,2103810000,1788110000,1989040000,1093600000,2221390000,1488430000,2007290000,1809860000
Bahrain,91755319.15,619414893.6,868617021.3,-275000007.9,208244700.2,430586743.7,2048151880,329284164.2,179454413.3,453737838,363562321.9,80358858.37,216986881.6,516700276.4,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8,1544680851,3727712766,1518617021,64893617.02,243351063.8,518882978.7,111170212.8
"Bahamas, The",-17000000,-1300000,300000,27300000,23600000,106900000,87800000,210000000,146900000,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960000,871970000,666621000,526171000,382252000,251277428.8,76075924.75,390400036.4,304587573.1,491404689.2
Bosnia and Herzegovina,,,,,,,,,66736468.36,176780594.8,146075610.9,118495219.8,267769569,381784637.4,889597294.5,623812851.6,845962876.4,1841972230,1004852660,138511019.7,443840207.1,471610992.2,391976946.4,313295008.3,544866345.5,383089615.7,313198153.4,509429047.9,601783317.1
Belarus,,,7000000,17600000,10500000,14700000,104500000,351600000,203200000,444000000,118800000,95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000,1652300000,1246900000,1276300000,1426500000
Belize,17200000,13600000,15600000,9200000,15369500,21050000,16580000,11955000,17650000,58671500,29564651.92,61174888.87,25461176.88,-10924755.75,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,92247730.94,141097030.3,59119223.9,32733410.99,31831615.5,122041647
Bermuda,,,,,,,,34700000,102700000,60500000,66900000,41799999.9,5400000,12900000,831600000,43700000,-88170000,617153591.8,171529641.6,-70747817.17,222710475.9,-257865988.6,47614095.07,54904045.83,-3425440.524,-143094386.1,-73213793.63,-288109271,95416371.5
Bolivia,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4,1059965391,1749612614,656566350.8,554643532.3,335365530.4,712474137.8,302368781.4
Brazil,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,12552000000,18992934311,28855609916,28385675615,32994718700,23225846372,16586600193,10123013671,18161380460,15459981604,19418085598,44579492464,50716402711,31480931700,82389932468,1.02427E+11,92568388321,75211029129,87713983217,64738153494,74294627801,68885491315,78162724370
Barbados,11213282.8,7424921.25,14450000,9402113.87,12950000,63803750.15,15836484.06,28203499.05,29160482.23,47539505.12,73696943.91,91504910.94,228343253.8,184701288.6,228334500,390061395.9,342267498.2,476404577,615122884.6,356008255.1,425337312.6,459552936.4,528045664.5,104089451.2,753687476.1,688525943.3,557688983.7,206157362.7,241596499.9
Brunei Darussalam,7000000,5000000,7000000,8000000,5889999.9,582760563.3,653600000,701740000,573250000,747868668.6,549607250.7,60694643.66,229671955.7,123820911.1,113205867,175068516.6,87839128.31,257635717.5,222184549.5,325586827.8,480722547,691170274.4,864905527.5,775641999.1,573906207.8,171289167.8,-150550827.3,467927550.3,516202620.6
Bhutan,1600000,600000,,,,50000,1399999.9,-700000,,1050274.76,,,2425411.898,3370306.526,8859907.539,6210884.351,6122702.143,73855769.76,3144001.019,18299707.23,75274009.03,31141614.86,24380673.57,20433631.07,23534931.75,6450953.85,11884162.35,-16553759.95,2649454.311
Botswana,95889963.04,-8211493.783,-1564184.906,-286949434.1,-14154569.01,70413220.76,71182310.71,100109748.7,95318134.92,36675065.78,57171341.35,30680571.21,407997392.5,418040676.1,390889251.9,420854175,486913109.1,494634226.2,520917902.3,208699298.2,218379837.6,293208060.5,146084155.2,67136806.16,515184471,378554181.5,142522598.3,260575129.4,285955061.9
